game_id,game_date,matchup,home_team,away_team,season_year
0022301190,2024-04-14,NYK vs. CHI,NYK,CHI,2023-24
0022301175,2024-04-12,NYK vs. BKN,NYK,BKN,2023-24
0022301167,2024-04-11,NYK @ BOS,BOS,NYK,2023-24
0022301139,2024-04-07,NYK @ MIL,MIL,NYK,2023-24
0022301119,2024-04-05,NYK @ CHI,CHI,NYK,2023-24
0022301112,2024-04-04,NYK vs. SAC,NYK,SAC,2023-24
0022301096,2024-04-02,NYK @ MIA,MIA,NYK,2023-24
0022301082,2024-03-31,NYK vs. OKC,NYK,OKC,2023-24
0022301070,2024-03-29,NYK @ SAS,SAS,NYK,2023-24
0022301053,2024-03-27,NYK @ TOR,TOR,NYK,2023-24
0022301035,2024-03-25,NYK vs. DET,NYK,DET,2023-24
0022301019,2024-03-23,NYK vs. BKN,NYK,BKN,2023-24
0022301009,2024-03-21,NYK @ DEN,DEN,NYK,2023-24
0022300988,2024-03-18,NYK @ GSW,GSW,NYK,2023-24
0022300975,2024-03-16,NYK @ SAC,SAC,NYK,2023-24
0022300960,2024-03-14,NYK @ POR,POR,NYK,2023-24
0022300939,2024-03-12,NYK vs. PHI,NYK,PHI,2023-24
0022300927,2024-03-10,NYK vs. PHI,NYK,PHI,2023-24
0022300912,2024-03-08,NYK vs. ORL,NYK,ORL,2023-24
0022300889,2024-03-05,NYK vs. ATL,NYK,ATL,2023-24
0022300876,2024-03-03,NYK @ CLE,CLE,NYK,2023-24
0022300852,2024-02-29,NYK vs. GSW,NYK,GSW,2023-24
0022300837,2024-02-27,NYK vs. NOP,NYK,NOP,2023-24
0022300828,2024-02-26,NYK vs. DET,NYK,DET,2023-24
0022300816,2024-02-24,NYK vs. BOS,NYK,BOS,2023-24
0022300794,2024-02-22,NYK @ PHI,PHI,NYK,2023-24
0022300778,2024-02-14,NYK @ ORL,ORL,NYK,2023-24
0022300765,2024-02-12,NYK @ HOU,HOU,NYK,2023-24
0022300755,2024-02-10,NYK vs. IND,NYK,IND,2023-24
0022300736,2024-02-08,NYK vs. DAL,NYK,DAL,2023-24
0022300722,2024-02-06,NYK vs. MEM,NYK,MEM,2023-24
0022300701,2024-02-03,NYK vs. LAL,NYK,LAL,2023-24
0022300685,2024-02-01,NYK vs. IND,NYK,IND,2023-24
0022300671,2024-01-30,NYK vs. UTA,NYK,UTA,2023-24
0022300657,2024-01-29,NYK @ CHA,CHA,NYK,2023-24
0022300643,2024-01-27,NYK vs. MIA,NYK,MIA,2023-24
0022300631,2024-01-25,NYK vs. DEN,NYK,DEN,2023-24
0022300615,2024-01-23,NYK @ BKN,BKN,NYK,2023-24
0022300596,2024-01-20,NYK vs. TOR,NYK,TOR,2023-24
0022300579,2024-01-18,NYK vs. WAS,NYK,WAS,2023-24
0022300573,2024-01-17,NYK vs. HOU,NYK,HOU,2023-24
0022300557,2024-01-15,NYK vs. ORL,NYK,ORL,2023-24
0022300544,2024-01-13,NYK @ MEM,MEM,NYK,2023-24
0022300530,2024-01-11,NYK @ DAL,DAL,NYK,2023-24
0022300514,2024-01-09,NYK vs. POR,NYK,POR,2023-24
0022300494,2024-01-06,NYK @ WAS,WAS,NYK,2023-24
0022300483,2024-01-05,NYK @ PHI,PHI,NYK,2023-24
0022300468,2024-01-03,NYK vs. CHI,NYK,CHI,2023-24
0022300451,2024-01-01,NYK vs. MIN,NYK,MIN,2023-24
0022300432,2023-12-29,TOR @ BOS,BOS,TOR,2023-24
0022300416,2023-12-27,TOR @ WAS,WAS,TOR,2023-24
0022300395,2023-12-23,TOR vs. UTA,TOR,UTA,2023-24
0022300382,2023-12-22,TOR @ PHI,PHI,TOR,2023-24
0022300369,2023-12-20,TOR vs. DEN,TOR,DEN,2023-24
0022300354,2023-12-18,TOR vs. CHA,TOR,CHA,2023-24
0022300330,2023-12-15,TOR vs. ATL,TOR,ATL,2023-24
0022300313,2023-12-13,TOR vs. ATL,TOR,ATL,2023-24
0022300297,2023-12-11,TOR @ NYK,NYK,TOR,2023-24
0022301216,2023-12-08,TOR @ CHA,CHA,TOR,2023-24
0022301207,2023-12-06,TOR vs. MIA,TOR,MIA,2023-24
0022300276,2023-12-01,TOR vs. NYK,TOR,NYK,2023-24
0022300260,2023-11-29,TOR vs. PHX,TOR,PHX,2023-24
0022300054,2023-11-28,TOR @ BKN,BKN,TOR,2023-24
0022300251,2023-11-26,TOR @ CLE,CLE,TOR,2023-24
0022300046,2023-11-24,TOR vs. CHI,TOR,CHI,2023-24
0022300038,2023-11-21,TOR @ ORL,ORL,TOR,2023-24
0022300211,2023-11-19,TOR vs. DET,TOR,DET,2023-24
0022300031,2023-11-17,TOR vs. BOS,TOR,BOS,2023-24
0022300195,2023-11-15,TOR vs. MIL,TOR,MIL,2023-24
0022300189,2023-11-13,TOR vs. WAS,TOR,WAS,2023-24
0022300174,2023-11-11,TOR @ BOS,BOS,TOR,2023-24
0022300092,2023-10-28,TOR vs. PHI,TOR,PHI,2023-24
0022300082,2023-10-27,TOR @ CHI,CHI,TOR,2023-24
0022300069,2023-10-25,TOR vs. MIN,TOR,MIN,2023-24
0022301189,2024-04-14,MIA vs. TOR,MIA,TOR,2023-24
0022301176,2024-04-12,MIA vs. TOR,MIA,TOR,2023-24
0022301161,2024-04-10,MIA vs. DAL,MIA,DAL,2023-24
0022301147,2024-04-09,MIA @ ATL,ATL,MIA,2023-24
0022301133,2024-04-07,MIA @ IND,IND,MIA,2023-24
0022301120,2024-04-05,MIA @ HOU,HOU,MIA,2023-24
0022301111,2024-04-04,MIA vs. PHI,MIA,PHI,2023-24
0022301081,2024-03-31,MIA @ WAS,WAS,MIA,2023-24
0022301068,2024-03-29,MIA vs. POR,MIA,POR,2023-24
