player_id,player_name,team_abbreviation
1630173,Precious Achiuwa,NYK
1628389,Bam Adebayo,MIA
1630534,Ochai Agbaji,TOR
1630583,Santi Aldama,MEM
1629638,Nickeil Alexander-Walker,MIN
1628960,Grayson Allen,PHX
1628386,Jarrett Allen,CLE
1630631,Jose Alvarado,NOP
203937,Kyle Anderson,MIN
203507,Giannis Antetokounmpo,MIL
1630175,Cole Anthony,ORL
1628384,OG Anunoby,NYK
1630166,Deni Avdija,WAS
1629028,Deandre Ayton,POR
1628963,Marvin Bagley III,WAS
1631116,Patrick Baldwin Jr.,WAS
1630163,LaMelo Ball,CHA
1628964,Mo Bamba,PHI
1631094,Paolo Banchero,ORL
1630217,Desmond Bane,MEM
1630625,Dalano Banton,POR
1631230,Dominick Barlow,SAS
203084,Harrison Barnes,SAC
1630567,Scottie Barnes,TOR
1629628,RJ Barrett,TOR
1629646,Charles Bassey,SAS
1641734,Emoni Bates,CLE
201587,Nicolas Batum,PHI
203078,Bradley Beal,PHX
1627736,Malik Beasley,MIL
1630699,MarJon Beauchamp,MIL
1630180,Saddiq Bey,ATL
1629048,Goga Bitadze,ORL
202687,Bismack Biyombo,OKC
1641710,Anthony Black,ORL
203992,Bogdan Bogdanović,ATL
1629626,Bol Bol,PHX
1626164,Devin Booker,PHX
1630527,Brandon Boston,LAC
1628449,Chris Boucher,TOR
1631123,Jamaree Bouyea,SAS
1631103,Malaki Branham,SAS
1631128,Christian Braun,DEN
1628969,Mikal Bridges,BKN
1628970,Miles Bridges,CHA
1629052,Oshae Brissett,BOS
1627763,Malcolm Brogdon,POR
1628415,Dillon Brooks,HOU
1628971,Bruce Brown,TOR
1627759,Jaylen Brown,BOS
1641738,Kobe Brown,LAC
1629650,Moses Brown,POR
1628973,Jalen Brunson,NYK
1628418,Thomas Bryant,MIA
1641723,Kobe Bufkin,ATL
202692,Alec Burks,NYK
1630215,Jared Butler,WAS
202710,Jimmy Butler III,MIA
1631288,Jamal Cain,MIA
203484,Kentavious Caldwell-Pope,DEN
1641739,Toumani Camara,POR
203991,Clint Capela,ATL
1628975,Jevon Carter,CHI
1628976,Wendell Carter Jr.,ORL
1630618,D.J. Carton,TOR
1627936,Alex Caruso,CHI
1630658,Colin Castleton,LAL
1630577,Julian Champagnie,SAS
1630551,Justin Champagnie,WAS
1631108,Max Christie,LAL
1631321,Sidy Cissoko,SAS
1629634,Brandon Clarke,MEM
203903,Jordan Clarkson,UTA
1629651,Nic Claxton,BKN
1641730,Noah Clowney,BKN
1629599,Amir Coffey,LAC
1628381,John Collins,UTA
1628380,Zach Collins,SAS
201144,Mike Conley,MIN
1626192,Pat Connaughton,MIL
1641731,Bilal Coulibaly,WAS
1641741,Ricky Council IV,PHI
1628470,Torrey Craig,CHI
203109,Jae Crowder,MIL
1630595,Cade Cunningham,DET
203552,Seth Curry,CHA
201939,Stephen Curry,GSW
1630700,Dyson Daniels,NOP
203076,Anthony Davis,LAL
1631098,Johnny Davis,WAS
1631120,JD Davison,BOS
201942,DeMar DeRozan,CHI
1628978,Donte DiVincenzo,NYK
1631217,Moussa Diabaté,LAC
1641711,Gradey Dick,TOR
1631172,Ousmane Dieng,OKC
203915,Spencer Dinwiddie,LAL
